"STATION","NAME","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT32","DX32","DX70","DX90","EMSD","EMSN","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN","WDFG","WSFG","WSFM"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1960",,"254","       163","        99","       15","         6","        55","         4","       114","        10","5","3.2","5060","35.95","12.9","52.1","61.1","43.2","       225","48.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1961",,"411","       173","       109","        1","         0","        31","         0","       116","        13","1","0.7","4383","41.95","1.0","53.9","62.8","44.9","       225","57.5",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1962",,"199","       140","        87","        2","         1","        44","         2","       108","         7","1","3.2","4860","34.20","4.6","53.0","61.8","44.1","       203","86.3",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1963",,"164","       163","       101","        3","         2","        51","         5","       106","         3","1","3.4","4658","33.77","5.0","52.1","60.5","43.7","       180","62.2",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1964",,"103","       178","        92","        4","         2","        64","         4","        88","         2","11","8.0","5143","37.92","11.0","50.1","59.3","40.8","       270","88.6",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1965",,"324","       120","        76","        0","         0","        48","         0","       126","        14","0","0.3","5068","31.31","0.3","53.7","63.4","44.0","       135","67.8","57.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1966",,"242","       147","        89","        0","         0","        23","         0","       132","         3","0","0.4","4410","33.87","0.6","53.6","63.0","44.3","       180","55.3","36.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1967",,"540","       142","        85","        3","         2","        35","         1","       131","        21","3","3.3","4405","29.25","5.7","54.2","64.1","44.3","       180","78.3","70.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1968",,"257","       184","       115","        5","         6","        38","         5","       105","         9","9","6.0","4383","50.92","20.8","52.8","61.7","43.9","       180","51.7","45.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1969",,"279","       145","        84","       16","         6","        46","         9","       130","         6","10","5.1","5007","37.13","18.3","52.8","62.0","43.6","       225","55.3","40.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1970",,"374","       141","        88","        1","         1","        51","         1","       119","        16","1","1.0","4401","41.39","1.4","53.6","63.5","43.6","       180","54.1","45.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1971",,"400","       168","       101","        5","         5","        44","         0","       121","        15","4","3.5","4782","41.76","13.2","52.8","61.6","43.9","       180","71.4","48.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1972",,"510","       150","        99","        7","         2","        42","        13","       137","        22","5","3.8","4561","38.84","6.5","53.9","63.4","44.4","       180","63.3","48.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1973",,"387","       151","        97","        0","         0","        27","         2","       119","        18","0","0.4","4493","41.69","0.4","54.2","63.4","45.0","        90","52.8","46.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1974",,"392","       150","        93","        0","         0","        28","         7","       131","        18","0","0.0","4493","40.29","0.0","54.2","63.2","45.1","       180","64.4","50.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1975",,"323","       164","       100","        0","         0","        44","         0","       111","         9","0","0.1","4469","39.09","0.1","53.0","61.6","44.5","       225","48.3","36.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","1976",,"200","       127","        77","        0","         0","        49","         0","       113","         1","0","0.0","4621","26.74","0.0","52.8","61.8","43.8",,,"40.0"
